[I 2026-04-08 02:33:48,899] Trial 22 finished with value: -1.0 and parameters: {'num_leaves': 20, 'learning_rate': 0.07721502056975559, 'feature_fraction': 0.8684780361161909, 'min_data_in_leaf': 40, 'atr_multiplier': 7.081014781318654}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:33:52,185] Trial 23 finished with value: -1.0 and parameters: {'num_leaves': 21, 'learning_rate': 0.06435762702077091, 'feature_fraction': 0.916148467640912, 'min_data_in_leaf': 52, 'atr_multiplier': 8.233194684688517}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:33:54,210] Trial 24 finished with value: -1.0 and parameters: {'num_leaves': 8, 'learning_rate': 0.09130702365899286, 'feature_fraction': 0.945190437974041, 'min_data_in_leaf': 64, 'atr_multiplier': 9.528670132463358}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:33:56,391] Trial 25 finished with value: -1.0 and parameters: {'num_leaves': 34, 'learning_rate': 0.05979890380041297, 'feature_fraction': 0.814614073060446, 'min_data_in_leaf': 99, 'atr_multiplier': 11.06487857966541}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:33:58,668] Trial 26 finished with value: -1.0 and parameters: {'num_leaves': 59, 'learning_rate': 0.050082128555974326, 'feature_fraction': 0.8837775155768696, 'min_data_in_leaf': 69, 'atr_multiplier': 8.711655102613797}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:00,841] Trial 27 finished with value: -1.0 and parameters: {'num_leaves': 51, 'learning_rate': 0.037718926282120924, 'feature_fraction': 0.8451684733406963, 'min_data_in_leaf': 56, 'atr_multiplier': 6.686003424495336}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:02,869] Trial 28 finished with value: -1.0 and parameters: {'num_leaves': 15, 'learning_rate': 0.0811164909730046, 'feature_fraction': 0.7303861604242076, 'min_data_in_leaf': 32, 'atr_multiplier': 7.904947423373752}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:05,085] Trial 29 finished with value: -1.0 and parameters: {'num_leaves': 41, 'learning_rate': 0.04616831861109117, 'feature_fraction': 0.7819201683455115, 'min_data_in_leaf': 46, 'atr_multiplier': 8.641005081076626}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:07,417] Trial 30 finished with value: -1.0 and parameters: {'num_leaves': 37, 'learning_rate': 0.026836957357458318, 'feature_fraction': 0.9785562923451631, 'min_data_in_leaf': 92, 'atr_multiplier': 9.666999003522514}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:09,565] Trial 31 finished with value: -1.0 and parameters: {'num_leaves': 44, 'learning_rate': 0.040122947503258566, 'feature_fraction': 0.9535443228004602, 'min_data_in_leaf': 30, 'atr_multiplier': 8.920561424419338}. Best is trial 0 with value: -1.0.
